epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,2603,1.13322,0.84742,0.0185,0.82595,0.78628,0.84365,0.57167,1.23155,0.83145,0.0305,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2686.67,1.11508,0.80963,0.01795,0.84413,0.80202,0.86532,0.59167,1.18523,0.813,0.02909,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2770.43,1.12177,0.80156,0.0181,0.84409,0.78587,0.87669,0.60551,1.18609,0.73746,0.02942,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2854.66,1.11448,0.82032,0.01797,0.81526,0.80059,0.85631,0.58192,1.22843,0.79488,0.03014,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2955.01,1.0987,0.79846,0.01795,0.8294,0.80555,0.86571,0.60634,1.19749,0.76917,0.02916,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,3060.56,1.09255,0.79815,0.01757,0.86324,0.80499,0.88776,0.61499,1.17384,0.73251,0.02855,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3165.75,1.09837,0.79487,0.01786,0.86409,0.79619,0.8761,0.60651,1.18509,0.75088,0.02914,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3269.73,1.07778,0.77983,0.01736,0.82632,0.80352,0.87658,0.616,1.17643,0.78039,0.029,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,3373.57,1.08668,0.77342,0.01734,0.8442,0.80792,0.88447,0.61903,1.16181,0.71893,0.02863,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,3478.47,1.07025,0.77043,0.01724,0.85528,0.79726,0.8717,0.60651,1.16171,0.79655,0.02829,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,3583.01,1.08553,0.76915,0.01738,0.82716,0.82803,0.87762,0.61921,1.16538,0.7487,0.02833,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,3688.96,1.06565,0.76067,0.01743,0.83043,0.83138,0.86096,0.5981,1.19734,0.78111,0.02958,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,3793.53,1.04704,0.75294,0.01683,0.87919,0.80205,0.87111,0.6035,1.19312,0.76027,0.0292,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,3897.12,1.05745,0.7592,0.01699,0.87334,0.79032,0.88126,0.61733,1.1644,0.77024,0.02817,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4000.26,1.07367,0.74307,0.01726,0.85407,0.81232,0.88898,0.62662,1.14448,0.72661,0.02771,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,4104.12,1.07389,0.72164,0.01721,0.85835,0.8441,0.8941,0.62861,1.15847,0.73776,0.02826,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4207.87,1.07367,0.74485,0.01742,0.83515,0.82453,0.87759,0.61905,1.15259,0.7477,0.0282,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,4311.25,1.03834,0.71783,0.01676,0.82784,0.82111,0.87341,0.61831,1.17036,0.79285,0.02855,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,4414.61,1.05468,0.71768,0.01673,0.86304,0.7946,0.87295,0.61362,1.16739,0.77122,0.02845,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,4518.4,1.0454,0.73379,0.01671,0.83309,0.84165,0.87447,0.61244,1.16841,0.79787,0.02888,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,4621.73,1.03303,0.71541,0.01652,0.85261,0.80577,0.87623,0.6134,1.1893,0.79373,0.02904,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,4725.18,1.04439,0.71102,0.01682,0.82757,0.82337,0.87067,0.60957,1.18779,0.78822,0.02879,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,4828.51,1.03729,0.70604,0.01659,0.84356,0.81434,0.86669,0.60681,1.18394,0.78871,0.0292,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,4931.97,1.03376,0.70065,0.0165,0.82026,0.82305,0.86352,0.60589,1.17471,0.79099,0.02875,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,5035.38,1.01813,0.70337,0.01629,0.86385,0.80205,0.8746,0.62269,1.15132,0.77286,0.02778,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,5138.67,1.03588,0.68922,0.01663,0.85318,0.82551,0.87402,0.61411,1.18506,0.80836,0.02861,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5241.65,1.02142,0.68821,0.01602,0.86266,0.79765,0.87024,0.62669,1.13433,0.77499,0.02738,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,5344.4,1.01331,0.7039,0.01626,0.86532,0.82405,0.88519,0.62608,1.15067,0.74676,0.02809,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,5447.78,1.01398,0.69608,0.01618,0.83928,0.82692,0.89092,0.63493,1.12553,0.76426,0.02716,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,5551.91,1.018,0.70593,0.01625,0.86254,0.82551,0.88762,0.63608,1.13945,0.7598,0.02749,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,5655.64,1.01173,0.69259,0.01625,0.8466,0.82991,0.88208,0.631,1.15591,0.80327,0.02819,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,5759.24,1.00814,0.68856,0.01599,0.85037,0.79997,0.87266,0.63199,1.13569,0.78466,0.02747,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,5863.33,0.99431,0.68085,0.01572,0.8501,0.80657,0.87513,0.6314,1.13291,0.78851,0.0271,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,5966.89,0.99434,0.65809,0.01564,0.85798,0.84149,0.89231,0.6415,1.16845,0.73336,0.02878,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,6070.93,0.99721,0.67767,0.0158,0.84552,0.82659,0.87917,0.63305,1.14395,0.74161,0.02772,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,6174.59,0.98847,0.66717,0.01588,0.85707,0.80352,0.87555,0.62796,1.158,0.79066,0.02796,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,6278.09,0.97175,0.64503,0.01564,0.84709,0.8123,0.88062,0.63274,1.16448,0.81045,0.02835,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
